variant,params,best_val_auc,val_acc,val_auc,val_f1,val_ece,biggan_recall,train_time_s,reused
1. spatial only,702930,0.992215,0.960917,0.992215,0.961198,0.043059,0.684,4294.2,False
2. frequency only,75633,0.930569,0.852583,0.930569,0.852103,0.051906,0.333,2102.8,False
3. concat fusion,806850,0.988042,0.95075,0.988042,0.951032,0.03843,0.383,5696.0,False
4. gated fusion (full),848066,0.988356,0.951417,0.988356,0.951742,0.037957,0.506,36.3,True
5. no constrained conv,847841,0.989208,0.95375,0.989208,0.953915,0.03808,0.515,4187.5,False
6. no radial features,836706,0.988367,0.952,0.988367,0.952389,0.040881,0.311,5651.8,False
7. heavy augmentation,848066,0.985748,0.941167,0.985748,0.941537,0.047278,0.338,5764.9,False
