,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,params,img_per_s,tn,fp,fn,tp
Spectral-LogReg,0.78465,0.8057793533139972,0.7501,0.7769433942721011,0.86100816,0.8374822228340729,0.033524848008155805,17.0,,8192.0,1808.0,2499.0,7501.0
Spectral-LinearSVM,0.7826,0.8129568106312293,0.7341,0.771518654755649,0.86080837,0.8370452084029624,0.1593944142735951,17.0,,8311.0,1689.0,2659.0,7341.0
CIFAKE-CNN,0.9468,0.9459081836327345,0.9478,0.9468531468531468,0.988471795,0.9881884031594065,0.057979236698150645,141345.0,266511.20196125284,9458.0,542.0,522.0,9478.0
ResNet-18,0.9781,0.9756267409470752,0.9807,0.9781567923399163,0.996408225,0.9961911895553264,0.04577208847701551,11169345.0,9393.406122124075,9755.0,245.0,193.0,9807.0
DSF-Net,0.954,0.9512025442258001,0.9571,0.954142159306151,0.990405815,0.9900139627149807,0.041230713337659854,405826.0,33428.30803671186,9509.0,491.0,429.0,9571.0
DSF-Net (tuned),0.95715,0.9461305748023812,0.9695,0.9576727416407369,0.9909510299999998,0.9895641636593099,0.03923220862150187,848066.0,21699.18766582194,9448.0,552.0,305.0,9695.0
