arch,seed,set,n,accuracy,roc_auc,recall_fake,specificity_real
DSF-Net,45,gen_SD15,1000,0.753,0.830092,0.758,0.748
DSF-Net,45,gen_VQDM,1000,0.533,0.551482,0.318,0.748
DSF-Net,45,gen_Wukong,1000,0.76,0.834532,0.772,0.748
DSF-Net,46,A,2000,0.958,0.9909340000000001,0.971,0.945
DSF-Net,46,gen_ADM,1000,0.494,0.489442,0.502,0.486
DSF-Net,46,gen_BigGAN,1000,0.482,0.48243199999999997,0.478,0.486
DSF-Net,46,gen_GLIDE,1000,0.51,0.52335,0.534,0.486
DSF-Net,46,gen_Midjourney,1000,0.513,0.5372839999999999,0.54,0.486
DSF-Net,46,gen_SD15,1000,0.707,0.833202,0.928,0.486
DSF-Net,46,gen_VQDM,1000,0.492,0.5006740000000001,0.498,0.486
DSF-Net,46,gen_Wukong,1000,0.694,0.8151,0.902,0.486
ResNet-18,42,A,2000,0.963,0.992151,0.964,0.962
ResNet-18,42,gen_ADM,1000,0.471,0.48977000000000004,0.232,0.71
ResNet-18,42,gen_BigGAN,1000,0.508,0.506744,0.306,0.71
ResNet-18,42,gen_GLIDE,1000,0.577,0.6007819999999999,0.444,0.71
ResNet-18,42,gen_Midjourney,1000,0.569,0.594154,0.428,0.71
ResNet-18,42,gen_SD15,1000,0.77,0.8501780000000001,0.83,0.71
ResNet-18,42,gen_VQDM,1000,0.519,0.5451360000000001,0.328,0.71
ResNet-18,42,gen_Wukong,1000,0.782,0.86142,0.854,0.71
ResNet-18,43,A,2000,0.9735,0.994431,0.983,0.964
ResNet-18,43,gen_ADM,1000,0.489,0.503316,0.272,0.706
ResNet-18,43,gen_BigGAN,1000,0.493,0.489136,0.28,0.706
ResNet-18,43,gen_GLIDE,1000,0.575,0.6023240000000001,0.444,0.706
ResNet-18,43,gen_Midjourney,1000,0.576,0.598548,0.446,0.706
ResNet-18,43,gen_SD15,1000,0.774,0.8639939999999999,0.842,0.706
ResNet-18,43,gen_VQDM,1000,0.521,0.547722,0.336,0.706
ResNet-18,43,gen_Wukong,1000,0.779,0.8638879999999999,0.852,0.706
ResNet-18,44,A,2000,0.98,0.995621,0.983,0.977
ResNet-18,44,gen_ADM,1000,0.49,0.5032859999999999,0.252,0.728
ResNet-18,44,gen_BigGAN,1000,0.492,0.49260799999999993,0.256,0.728
ResNet-18,44,gen_GLIDE,1000,0.58,0.6004799999999999,0.432,0.728
ResNet-18,44,gen_Midjourney,1000,0.567,0.583952,0.406,0.728
ResNet-18,44,gen_SD15,1000,0.782,0.8528899999999999,0.836,0.728
ResNet-18,44,gen_VQDM,1000,0.516,0.5382680000000001,0.304,0.728
ResNet-18,44,gen_Wukong,1000,0.788,0.853712,0.848,0.728
ResNet-18,45,A,2000,0.9725,0.9945415,0.975,0.97
ResNet-18,45,gen_ADM,1000,0.493,0.512772,0.244,0.742
ResNet-18,45,gen_BigGAN,1000,0.487,0.500678,0.232,0.742
ResNet-18,45,gen_GLIDE,1000,0.565,0.595292,0.388,0.742
ResNet-18,45,gen_Midjourney,1000,0.564,0.6087659999999999,0.386,0.742
ResNet-18,45,gen_SD15,1000,0.781,0.8638520000000001,0.82,0.742
ResNet-18,45,gen_VQDM,1000,0.518,0.5414159999999999,0.294,0.742
ResNet-18,45,gen_Wukong,1000,0.791,0.871138,0.84,0.742
ResNet-18,46,A,2000,0.967,0.994574,0.979,0.955
ResNet-18,46,gen_ADM,1000,0.485,0.49392,0.348,0.622
ResNet-18,46,gen_BigGAN,1000,0.486,0.47895600000000005,0.35,0.622
ResNet-18,46,gen_GLIDE,1000,0.543,0.557014,0.464,0.622
ResNet-18,46,gen_Midjourney,1000,0.549,0.551616,0.476,0.622
ResNet-18,46,gen_SD15,1000,0.764,0.8517119999999999,0.906,0.622
ResNet-18,46,gen_VQDM,1000,0.496,0.495234,0.37,0.622
ResNet-18,46,gen_Wukong,1000,0.755,0.855274,0.888,0.622
