variant,params,val_auc,test_acc,test_auc,test_f1,test_ece
1. spatial only,702930,0.9922354400000001,0.9534,0.9916541050000001,0.9542509326526605,0.04295182603597641
2. frequency only,75633,0.9703617800000001,0.9144,0.971279255,0.914724048615262,0.032575120344758055
3. concat fusion,806850,0.9913344399999999,0.95305,0.9912424749999998,0.9535585340521292,0.04476445635855197
4. gated fusion (full),848066,0.99239634,0.95795,0.9920572000000001,0.9579731147868672,0.04429430535137654
5. no constrained conv,847841,0.9955845400000001,0.9687,0.9944963750000002,0.968586912886391,0.04015799397528175
6. no radial features,836706,0.9927466,0.95715,0.9918823099999999,0.9574499776575145,0.041485498559474934
7. heavy augmentation,848066,0.99496482,0.96705,0.9937454649999998,0.9671009934601368,0.04188920631408693
